77 vocabcat records written
ambil, vrb, oov, air
angkat, vrb, oov, komputer
angkat, vrb, oov, kopi
angkat, vrb, oov, kotak
angkat, vrb, oov, kucing
angkat, vrb, oov, kuda
angkat, vrb, oov, kunci
angkat, vrb, oov, kursi
angkat, vrb, oov, lampu
angkat, vrb, oov, mangga
angkat, vrb, oov, masakan
angkat, vrb, oov, meja
angkat, vrb, oov, mobil
angkat, vrb, oov, motor
angkat, vrb, oov, nyewa
angkat, vrb, oov, papan
angkat, vrb, oov, pel
angkat, vrb, oov, pensil
angkat, vrb, oov, penumpang
angkat, vrb, oov, pipa
angkat, vrb, oov, pisau
angkat, vrb, oov, pos
angkat, vrb, oov, roti
angkat, vrb, oov, sabun
angkat, vrb, oov, sapu
angkat, vrb, oov, sepeda
angkat, vrb, oov, susu
angkat, vrb, oov, taksi
angkat, vrb, oov, tas
angkat, vrb, oov, uang
berangkat, vrb, oov, air
berangkat, vrb, oov, anjing
berangkat, vrb, oov, arti
berangkat, vrb, oov, batu
berangkat, vrb, oov, bensin
berangkat, vrb, oov, bom
berangkat, vrb, oov, cat
berangkat, vrb, oov, cek
berangkat, vrb, oov, cermin
berangkat, vrb, oov, daging
berangkat, vrb, oov, dompet
berangkat, vrb, oov, gamelan
berangkat, vrb, oov, gelas
berangkat, vrb, oov, gunting
berangkat, vrb, oov, hewan
berangkat, vrb, oov, jam
berangkat, vrb, oov, jawab
berangkat, vrb, oov, jualan
berangkat, vrb, oov, kaca
berangkat, vrb, oov, kah
berangkat, vrb, oov, kain
berangkat, vrb, oov, kalendar
berangkat, vrb, oov, kayu
berangkat, vrb, oov, kentang
berangkat, vrb, oov, keranjang
berangkat, vrb, oov, kertas
berangkat, vrb, oov, komputer
berangkat, vrb, oov, kopi
berangkat, vrb, oov, kotak
berangkat, vrb, oov, kucing
berangkat, vrb, oov, kuda
berangkat, vrb, oov, kunci
berangkat, vrb, oov, kursi
berangkat, vrb, oov, lampu
berangkat, vrb, oov, mangga
berangkat, vrb, oov, masakan
berangkat, vrb, oov, meja
berangkat, vrb, oov, mobil
berangkat, vrb, oov, motor
berangkat, vrb, oov, nyewa
berangkat, vrb, oov, papan
berangkat, vrb, oov, pel
berangkat, vrb, oov, pensil
berangkat, vrb, oov, penumpang
berangkat, vrb, oov, pipa
berangkat, vrb, oov, pisau
berangkat, vrb, oov, pos
berangkat, vrb, oov, roti
berangkat, vrb, oov, sabun
berangkat, vrb, oov, sapu
berangkat, vrb, oov, sepeda
berangkat, vrb, oov, susu
berangkat, vrb, oov, taksi
berangkat, vrb, oov, tas
berangkat, vrb, oov, uang
baca, vrb, oov, buku
baca, vrb, oov, arti
baca, vrb, oov, cerita
baca, vrb, oov, doa
baca, vrb, oov, jam
baca, vrb, oov, jawab
baca, vrb, oov, kabar
baca, vrb, oov, kata
baca, vrb, oov, kertas
baca, vrb, oov, papan
baca, vrb, oov, tanya
bangun, vrb, oov, laki-laki
bangun, vrb, oov, perempuan
bangun, vrb, oov, dia
bangun, vrb, oov, kita
bangun, vrb, oov, mereka
bangun, vrb, oov, saya
bangun, vrb, oov, Anda
bangun, vrb, oov, abang
bangun, vrb, oov, adik
bangun, vrb, oov, anak
bangun, vrb, oov, anak laki-laki
bangun, vrb, oov, anak perempuan
bangun, vrb, oov, ayah
bangun, vrb, oov, bapak
bangun, vrb, oov, ibu
bangun, vrb, oov, kakak
bangun, vrb, oov, pacar
bangun, vrb, oov, ahli bedah
bangun, vrb, oov, akuntan
bangun, vrb, oov, arsitek
bangun, vrb, oov, asisten penjualan
bangun, vrb, oov, dokter
bangun, vrb, oov, dokter gigi
bangun, vrb, oov, dokter hewan
bangun, vrb, oov, guru
bangun, vrb, oov, guru
bangun, vrb, oov, hakim
bangun, vrb, oov, kasir
bangun, vrb, oov, koki
bangun, vrb, oov, makelar
bangun, vrb, oov, montir
bangun, vrb, oov, pelayan
bangun, vrb, oov, pemadam kebakaran
bangun, vrb, oov, pembantu
bangun, vrb, oov, pemotret
bangun, vrb, oov, peneliti
bangun, vrb, oov, pengacara
bangun, vrb, oov, penjahit
bangun, vrb, oov, penjual ikan
bangun, vrb, oov, perawat
bangun, vrb, oov, perias rambut
bangun, vrb, oov, polisi
bangun, vrb, oov, pramugari
bangun, vrb, oov, resepsionis
bangun, vrb, oov, sekretaris
bangun, vrb, oov, teknisi komputer
bangun, vrb, oov, tukang
bangun, vrb, oov, tukang bangunan
bangun, vrb, oov, tukang cat
bangun, vrb, oov, tukang daging
bangun, vrb, oov, tukang kayu
bangun, vrb, oov, tukang las
bangun, vrb, oov, tukang optic
bangun, vrb, oov, tukang pangkas
bangun, vrb, oov, tukang pipa
bangun, vrb, oov, tukang pos
bangun, vrb, oov, tukang roti
bangun, vrb, oov, tukang sapu
bangun, vrb, oov, wartawan
bangun, vrb, oov, murid
bangun, vrb, oov, pelayan
bangun, vrb, oov, pembantu
bangun, vrb, oov, polisi
bangun, vrb, oov, supir
bangun, vrb, oov, tukang
bangun, vrb, oov, Gede
bangun, vrb, oov, Kadek
bangun, vrb, oov, Ketut
bangun, vrb, oov, Komang
bangun, vrb, oov, Made
bangun, vrb, oov, Mang
bangun, vrb, oov, Nengah
bangun, vrb, oov, Ni Luh
bangun, vrb, oov, Nyoman
bangun, vrb, oov, Putu
bangun, vrb, oov, Tut
bangun, vrb, oov, Wayan
bawa, vrb, oov, air
bawa, vrb, oov, anjing
bawa, vrb, oov, arti
bawa, vrb, oov, batu
bawa, vrb, oov, bensin
bawa, vrb, oov, bom
bawa, vrb, oov, cat
bawa, vrb, oov, cek
bawa, vrb, oov, cermin
bawa, vrb, oov, daging
bawa, vrb, oov, dompet
bawa, vrb, oov, gamelan
bawa, vrb, oov, gelas
bawa, vrb, oov, gunting
bawa, vrb, oov, hewan
bawa, vrb, oov, jam
bawa, vrb, oov, jawab
bawa, vrb, oov, jualan
bawa, vrb, oov, kaca
bawa, vrb, oov, kah
bawa, vrb, oov, kain
bawa, vrb, oov, kalendar
bawa, vrb, oov, kayu
bawa, vrb, oov, kentang
bawa, vrb, oov, keranjang
bawa, vrb, oov, kertas
bawa, vrb, oov, komputer
bawa, vrb, oov, kopi
bawa, vrb, oov, kotak
bawa, vrb, oov, kucing
bawa, vrb, oov, kuda
bawa, vrb, oov, kunci
bawa, vrb, oov, kursi
bawa, vrb, oov, lampu
bawa, vrb, oov, mangga
bawa, vrb, oov, masakan
bawa, vrb, oov, meja
bawa, vrb, oov, mobil
bawa, vrb, oov, motor
bawa, vrb, oov, nyewa
bawa, vrb, oov, papan
bawa, vrb, oov, pel
bawa, vrb, oov, pensil
bawa, vrb, oov, penumpang
bawa, vrb, oov, pipa
bawa, vrb, oov, pisau
bawa, vrb, oov, pos
bawa, vrb, oov, roti
bawa, vrb, oov, sabun
bawa, vrb, oov, sapu
bawa, vrb, oov, sepeda
bawa, vrb, oov, susu
bawa, vrb, oov, taksi
bawa, vrb, oov, tas
bawa, vrb, oov, uang
membawa, vrb, oov, air
membawa, vrb, oov, anjing
membawa, vrb, oov, arti
membawa, vrb, oov, batu
membawa, vrb, oov, bensin
membawa, vrb, oov, bom
membawa, vrb, oov, cat
membawa, vrb, oov, cek
membawa, vrb, oov, cermin
membawa, vrb, oov, daging
membawa, vrb, oov, dompet
membawa, vrb, oov, gamelan
membawa, vrb, oov, gelas
membawa, vrb, oov, gunting
membawa, vrb, oov, hewan
membawa, vrb, oov, jam
membawa, vrb, oov, jawab
membawa, vrb, oov, jualan
membawa, vrb, oov, kaca
membawa, vrb, oov, kah
membawa, vrb, oov, kain
membawa, vrb, oov, kalendar
membawa, vrb, oov, kayu
membawa, vrb, oov, kentang
membawa, vrb, oov, keranjang
membawa, vrb, oov, kertas
membawa, vrb, oov, komputer
membawa, vrb, oov, kopi
membawa, vrb, oov, kotak
membawa, vrb, oov, kucing
membawa, vrb, oov, kuda
membawa, vrb, oov, kunci
membawa, vrb, oov, kursi
membawa, vrb, oov, lampu
membawa, vrb, oov, mangga
membawa, vrb, oov, masakan
membawa, vrb, oov, meja
membawa, vrb, oov, mobil
membawa, vrb, oov, motor
membawa, vrb, oov, nyewa
membawa, vrb, oov, papan
membawa, vrb, oov, pel
membawa, vrb, oov, pensil
membawa, vrb, oov, penumpang
membawa, vrb, oov, pipa
membawa, vrb, oov, pisau
membawa, vrb, oov, pos
membawa, vrb, oov, roti
membawa, vrb, oov, sabun
membawa, vrb, oov, sapu
membawa, vrb, oov, sepeda
membawa, vrb, oov, susu
membawa, vrb, oov, taksi
membawa, vrb, oov, tas
membawa, vrb, oov, uang
bayar, vrb, oov, laki-laki
bayar, vrb, oov, perempuan
bayar, vrb, oov, dia
bayar, vrb, oov, kita
bayar, vrb, oov, mereka
bayar, vrb, oov, saya
bayar, vrb, oov, Anda
bayar, vrb, oov, abang
bayar, vrb, oov, adik
bayar, vrb, oov, anak
bayar, vrb, oov, anak laki-laki
bayar, vrb, oov, anak perempuan
bayar, vrb, oov, ayah
bayar, vrb, oov, bapak
bayar, vrb, oov, ibu
bayar, vrb, oov, kakak
bayar, vrb, oov, pacar
bayar, vrb, oov, ahli bedah
bayar, vrb, oov, akuntan
bayar, vrb, oov, arsitek
bayar, vrb, oov, asisten penjualan
bayar, vrb, oov, dokter
bayar, vrb, oov, dokter gigi
bayar, vrb, oov, dokter hewan
bayar, vrb, oov, guru
bayar, vrb, oov, guru
bayar, vrb, oov, hakim
bayar, vrb, oov, kasir
bayar, vrb, oov, koki
bayar, vrb, oov, makelar
bayar, vrb, oov, montir
bayar, vrb, oov, pelayan
bayar, vrb, oov, pemadam kebakaran
bayar, vrb, oov, pembantu
bayar, vrb, oov, pemotret
bayar, vrb, oov, peneliti
bayar, vrb, oov, pengacara
bayar, vrb, oov, penjahit
bayar, vrb, oov, penjual ikan
bayar, vrb, oov, perawat
bayar, vrb, oov, perias rambut
bayar, vrb, oov, polisi
bayar, vrb, oov, pramugari
bayar, vrb, oov, resepsionis
bayar, vrb, oov, sekretaris
bayar, vrb, oov, teknisi komputer
bayar, vrb, oov, tukang
bayar, vrb, oov, tukang bangunan
bayar, vrb, oov, tukang cat
bayar, vrb, oov, tukang daging
bayar, vrb, oov, tukang kayu
bayar, vrb, oov, tukang las
bayar, vrb, oov, tukang optic
bayar, vrb, oov, tukang pangkas
bayar, vrb, oov, tukang pipa
bayar, vrb, oov, tukang pos
bayar, vrb, oov, tukang roti
bayar, vrb, oov, tukang sapu
bayar, vrb, oov, wartawan
bayar, vrb, oov, murid
bayar, vrb, oov, pelayan
bayar, vrb, oov, pembantu
bayar, vrb, oov, polisi
bayar, vrb, oov, supir
bayar, vrb, oov, tukang
bayar, vrb, oov, Gede
bayar, vrb, oov, Kadek
bayar, vrb, oov, Ketut
bayar, vrb, oov, Komang
bayar, vrb, oov, Made
bayar, vrb, oov, Mang
bayar, vrb, oov, Nengah
bayar, vrb, oov, Ni Luh
bayar, vrb, oov, Nyoman
bayar, vrb, oov, Putu
bayar, vrb, oov, Tut
bayar, vrb, oov, Wayan
belajar, vrb, oov, buku
beli, vrb, oov, air
beli, vrb, oov, anjing
beli, vrb, oov, arti
beli, vrb, oov, batu
beli, vrb, oov, bensin
beli, vrb, oov, bom
beli, vrb, oov, cat
beli, vrb, oov, cek
beli, vrb, oov, cermin
beli, vrb, oov, daging
beli, vrb, oov, dompet
beli, vrb, oov, gamelan
beli, vrb, oov, gelas
beli, vrb, oov, gunting
beli, vrb, oov, hewan
beli, vrb, oov, jam
beli, vrb, oov, jawab
beli, vrb, oov, jualan
beli, vrb, oov, kaca
beli, vrb, oov, kah
beli, vrb, oov, kain
beli, vrb, oov, kalendar
beli, vrb, oov, kayu
beli, vrb, oov, kentang
beli, vrb, oov, keranjang
beli, vrb, oov, kertas
beli, vrb, oov, komputer
beli, vrb, oov, kopi
beli, vrb, oov, kotak
beli, vrb, oov, kucing
beli, vrb, oov, kuda
beli, vrb, oov, kunci
beli, vrb, oov, kursi
beli, vrb, oov, lampu
beli, vrb, oov, mangga
beli, vrb, oov, masakan
beli, vrb, oov, meja
beli, vrb, oov, mobil
beli, vrb, oov, motor
beli, vrb, oov, nyewa
beli, vrb, oov, papan
beli, vrb, oov, pel
beli, vrb, oov, pensil
beli, vrb, oov, penumpang
beli, vrb, oov, pipa
beli, vrb, oov, pisau
beli, vrb, oov, pos
beli, vrb, oov, roti
beli, vrb, oov, sabun
beli, vrb, oov, sapu
beli, vrb, oov, sepeda
beli, vrb, oov, susu
beli, vrb, oov, taksi
beli, vrb, oov, tas
beli, vrb, oov, uang
beli, vrb, oov, anjing
beli, vrb, oov, kucing
beli, vrb, oov, kuda
membeli, vrb, oov, air
membeli, vrb, oov, anjing
membeli, vrb, oov, arti
membeli, vrb, oov, batu
membeli, vrb, oov, bensin
membeli, vrb, oov, bom
membeli, vrb, oov, cat
membeli, vrb, oov, cek
membeli, vrb, oov, cermin
membeli, vrb, oov, daging
membeli, vrb, oov, dompet
membeli, vrb, oov, gamelan
membeli, vrb, oov, gelas
membeli, vrb, oov, gunting
membeli, vrb, oov, hewan
membeli, vrb, oov, jam
membeli, vrb, oov, jawab
membeli, vrb, oov, jualan
membeli, vrb, oov, kaca
membeli, vrb, oov, kah
membeli, vrb, oov, kain
membeli, vrb, oov, kalendar
membeli, vrb, oov, kayu
membeli, vrb, oov, kentang
membeli, vrb, oov, keranjang
membeli, vrb, oov, kertas
membeli, vrb, oov, komputer
membeli, vrb, oov, kopi
membeli, vrb, oov, kotak
membeli, vrb, oov, kucing
membeli, vrb, oov, kuda
membeli, vrb, oov, kunci
membeli, vrb, oov, kursi
membeli, vrb, oov, lampu
membeli, vrb, oov, mangga
membeli, vrb, oov, masakan
membeli, vrb, oov, meja
membeli, vrb, oov, mobil
membeli, vrb, oov, motor
membeli, vrb, oov, nyewa
membeli, vrb, oov, papan
membeli, vrb, oov, pel
membeli, vrb, oov, pensil
membeli, vrb, oov, penumpang
membeli, vrb, oov, pipa
membeli, vrb, oov, pisau
membeli, vrb, oov, pos
membeli, vrb, oov, roti
membeli, vrb, oov, sabun
membeli, vrb, oov, sapu
membeli, vrb, oov, sepeda
membeli, vrb, oov, susu
membeli, vrb, oov, taksi
membeli, vrb, oov, tas
membeli, vrb, oov, uang
membeli, vrb, oov, anjing
membeli, vrb, oov, kucing
membeli, vrb, oov, kuda
berangkat, vrb, oov, air
berangkat, vrb, oov, anjing
berangkat, vrb, oov, arti
berangkat, vrb, oov, batu
berangkat, vrb, oov, bensin
berangkat, vrb, oov, bom
berangkat, vrb, oov, cat
berangkat, vrb, oov, cek
berangkat, vrb, oov, cermin
berangkat, vrb, oov, daging
berangkat, vrb, oov, dompet
berangkat, vrb, oov, gamelan
berangkat, vrb, oov, gelas
berangkat, vrb, oov, gunting
berangkat, vrb, oov, hewan
berangkat, vrb, oov, jam
berangkat, vrb, oov, jawab
berangkat, vrb, oov, jualan
berangkat, vrb, oov, kaca
berangkat, vrb, oov, kah
berangkat, vrb, oov, kain
berangkat, vrb, oov, kalendar
berangkat, vrb, oov, kayu
berangkat, vrb, oov, kentang
berangkat, vrb, oov, keranjang
berangkat, vrb, oov, kertas
berangkat, vrb, oov, komputer
berangkat, vrb, oov, kopi
berangkat, vrb, oov, kotak
berangkat, vrb, oov, kucing
berangkat, vrb, oov, kuda
berangkat, vrb, oov, kunci
berangkat, vrb, oov, kursi
berangkat, vrb, oov, lampu
berangkat, vrb, oov, mangga
berangkat, vrb, oov, masakan
berangkat, vrb, oov, meja
berangkat, vrb, oov, mobil
berangkat, vrb, oov, motor
berangkat, vrb, oov, nyewa
berangkat, vrb, oov, papan
berangkat, vrb, oov, pel
berangkat, vrb, oov, pensil
berangkat, vrb, oov, penumpang
berangkat, vrb, oov, pipa
berangkat, vrb, oov, pisau
berangkat, vrb, oov, pos
berangkat, vrb, oov, roti
berangkat, vrb, oov, sabun
berangkat, vrb, oov, sapu
berangkat, vrb, oov, sepeda
berangkat, vrb, oov, susu
berangkat, vrb, oov, taksi
berangkat, vrb, oov, tas
berangkat, vrb, oov, uang
berangkat, vrb, oov, Indonesia
berangkat, vrb, oov, Perancis
berangkat, vrb, oov, Belanda
berangkat, vrb, oov, Italia
berangkat, vrb, oov, Jerman
berangkat, vrb, oov, Amerika
berangkat, vrb, oov, Padang Bai
berangkat, vrb, oov, Ubud
berangkat, vrb, oov, Gilikanut
berangkat, vrb, oov, Uluwatu
berangkat, vrb, oov, Singaraja
berangkat, vrb, oov, Denpasar
berangkat, vrb, oov, Gianyar
berangkat, vrb, oov, Amlapura
berangkat, vrb, oov, Negara
berangkat, vrb, oov, Tabanan
berangkat, vrb, oov, Bangli
berangkat, vrb, oov, Mangupura
berangkat, vrb, oov, Semarapura
berangkat, vrb, oov, Bali
berangkat, vrb, oov, Java
berangkat, vrb, oov, Sumatra
berangkat, vrb, oov, Sulewesi
berangkat, vrb, oov, Borneo
berbicara, vrb, oov, bahasa
bercerita, vrb, oov, cerita
berdoa, vrb, oov, doa
berkata, vrb, oov, kata
berpikir, vrb, oov, pikir
bersembunyi, vrb, oov, air
bersembunyi, vrb, oov, anjing
bersembunyi, vrb, oov, arti
bersembunyi, vrb, oov, batu
bersembunyi, vrb, oov, bensin
bersembunyi, vrb, oov, bom
bersembunyi, vrb, oov, cat
bersembunyi, vrb, oov, cek
bersembunyi, vrb, oov, cermin
bersembunyi, vrb, oov, daging
bersembunyi, vrb, oov, dompet
bersembunyi, vrb, oov, gamelan
bersembunyi, vrb, oov, gelas
bersembunyi, vrb, oov, gunting
bersembunyi, vrb, oov, hewan
bersembunyi, vrb, oov, jam
bersembunyi, vrb, oov, jawab
bersembunyi, vrb, oov, jualan
bersembunyi, vrb, oov, kaca
bersembunyi, vrb, oov, kah
bersembunyi, vrb, oov, kain
bersembunyi, vrb, oov, kalendar
bersembunyi, vrb, oov, kayu
bersembunyi, vrb, oov, kentang
bersembunyi, vrb, oov, keranjang
bersembunyi, vrb, oov, kertas
bersembunyi, vrb, oov, komputer
bersembunyi, vrb, oov, kopi
bersembunyi, vrb, oov, kotak
bersembunyi, vrb, oov, kucing
bersembunyi, vrb, oov, kuda
bersembunyi, vrb, oov, kunci
bersembunyi, vrb, oov, kursi
bersembunyi, vrb, oov, lampu
bersembunyi, vrb, oov, mangga
bersembunyi, vrb, oov, masakan
bersembunyi, vrb, oov, meja
bersembunyi, vrb, oov, mobil
bersembunyi, vrb, oov, motor
bersembunyi, vrb, oov, nyewa
bersembunyi, vrb, oov, papan
bersembunyi, vrb, oov, pel
bersembunyi, vrb, oov, pensil
bersembunyi, vrb, oov, penumpang
bersembunyi, vrb, oov, pipa
bersembunyi, vrb, oov, pisau
bersembunyi, vrb, oov, pos
bersembunyi, vrb, oov, roti
bersembunyi, vrb, oov, sabun
bersembunyi, vrb, oov, sapu
bersembunyi, vrb, oov, sepeda
bersembunyi, vrb, oov, susu
bersembunyi, vrb, oov, taksi
bersembunyi, vrb, oov, tas
bersembunyi, vrb, oov, uang
bersembunyi, vrb, oov, anjing
bersembunyi, vrb, oov, kucing
bersembunyi, vrb, oov, kuda
bersembunyi, vrb, oov, pikir
bertanya, vrb, oov, tanya
bertanya, vrb, oov, laki-laki
bertanya, vrb, oov, perempuan
bertanya, vrb, oov, dia
bertanya, vrb, oov, kita
bertanya, vrb, oov, mereka
bertanya, vrb, oov, saya
bertanya, vrb, oov, Anda
bertanya, vrb, oov, abang
bertanya, vrb, oov, adik
bertanya, vrb, oov, anak
bertanya, vrb, oov, anak laki-laki
bertanya, vrb, oov, anak perempuan
bertanya, vrb, oov, ayah
bertanya, vrb, oov, bapak
bertanya, vrb, oov, ibu
bertanya, vrb, oov, kakak
bertanya, vrb, oov, pacar
bertanya, vrb, oov, ahli bedah
bertanya, vrb, oov, akuntan
bertanya, vrb, oov, arsitek
bertanya, vrb, oov, asisten penjualan
bertanya, vrb, oov, dokter
bertanya, vrb, oov, dokter gigi
bertanya, vrb, oov, dokter hewan
bertanya, vrb, oov, guru
bertanya, vrb, oov, guru
bertanya, vrb, oov, hakim
bertanya, vrb, oov, kasir
bertanya, vrb, oov, koki
bertanya, vrb, oov, makelar
bertanya, vrb, oov, montir
bertanya, vrb, oov, pelayan
bertanya, vrb, oov, pemadam kebakaran
bertanya, vrb, oov, pembantu
bertanya, vrb, oov, pemotret
bertanya, vrb, oov, peneliti
bertanya, vrb, oov, pengacara
bertanya, vrb, oov, penjahit
bertanya, vrb, oov, penjual ikan
bertanya, vrb, oov, perawat
bertanya, vrb, oov, perias rambut
bertanya, vrb, oov, polisi
bertanya, vrb, oov, pramugari
bertanya, vrb, oov, resepsionis
bertanya, vrb, oov, sekretaris
bertanya, vrb, oov, teknisi komputer
bertanya, vrb, oov, tukang
bertanya, vrb, oov, tukang bangunan
bertanya, vrb, oov, tukang cat
bertanya, vrb, oov, tukang daging
bertanya, vrb, oov, tukang kayu
bertanya, vrb, oov, tukang las
bertanya, vrb, oov, tukang optic
bertanya, vrb, oov, tukang pangkas
bertanya, vrb, oov, tukang pipa
bertanya, vrb, oov, tukang pos
bertanya, vrb, oov, tukang roti
bertanya, vrb, oov, tukang sapu
bertanya, vrb, oov, wartawan
bertanya, vrb, oov, murid
bertanya, vrb, oov, pelayan
bertanya, vrb, oov, pembantu
bertanya, vrb, oov, polisi
bertanya, vrb, oov, supir
bertanya, vrb, oov, tukang
bertanya, vrb, oov, Gede
bertanya, vrb, oov, Kadek
bertanya, vrb, oov, Ketut
bertanya, vrb, oov, Komang
bertanya, vrb, oov, Made
bertanya, vrb, oov, Mang
bertanya, vrb, oov, Nengah
bertanya, vrb, oov, Ni Luh
bertanya, vrb, oov, Nyoman
bertanya, vrb, oov, Putu
bertanya, vrb, oov, Tut
bertanya, vrb, oov, Wayan
berteman, vrb, oov, laki-laki
berteman, vrb, oov, perempuan
berteman, vrb, oov, dia
berteman, vrb, oov, kita
berteman, vrb, oov, mereka
berteman, vrb, oov, saya
berteman, vrb, oov, Anda
berteman, vrb, oov, abang
berteman, vrb, oov, adik
berteman, vrb, oov, anak
berteman, vrb, oov, anak laki-laki
berteman, vrb, oov, anak perempuan
berteman, vrb, oov, ayah
berteman, vrb, oov, bapak
berteman, vrb, oov, ibu
berteman, vrb, oov, kakak
berteman, vrb, oov, pacar
berteman, vrb, oov, ahli bedah
berteman, vrb, oov, akuntan
berteman, vrb, oov, arsitek
berteman, vrb, oov, asisten penjualan
berteman, vrb, oov, dokter
berteman, vrb, oov, dokter gigi
berteman, vrb, oov, dokter hewan
berteman, vrb, oov, guru
berteman, vrb, oov, guru
berteman, vrb, oov, hakim
berteman, vrb, oov, kasir
berteman, vrb, oov, koki
berteman, vrb, oov, makelar
berteman, vrb, oov, montir
berteman, vrb, oov, pelayan
berteman, vrb, oov, pemadam kebakaran
berteman, vrb, oov, pembantu
berteman, vrb, oov, pemotret
berteman, vrb, oov, peneliti
berteman, vrb, oov, pengacara
berteman, vrb, oov, penjahit
berteman, vrb, oov, penjual ikan
berteman, vrb, oov, perawat
berteman, vrb, oov, perias rambut
berteman, vrb, oov, polisi
berteman, vrb, oov, pramugari
berteman, vrb, oov, resepsionis
berteman, vrb, oov, sekretaris
berteman, vrb, oov, teknisi komputer
berteman, vrb, oov, tukang
berteman, vrb, oov, tukang bangunan
berteman, vrb, oov, tukang cat
berteman, vrb, oov, tukang daging
berteman, vrb, oov, tukang kayu
berteman, vrb, oov, tukang las
berteman, vrb, oov, tukang optic
berteman, vrb, oov, tukang pangkas
berteman, vrb, oov, tukang pipa
berteman, vrb, oov, tukang pos
berteman, vrb, oov, tukang roti
berteman, vrb, oov, tukang sapu
berteman, vrb, oov, wartawan
berteman, vrb, oov, murid
